"","GEOID","count","area","density"
"1955","36047114600",1,1723239.76911926,5.80302299146157e-07
"1956","36047115000",2,1703334.40141296,1.17416756119113e-06
"1957","36047115200",4,1788251.78144836,2.23682148201764e-06
"1958","36047115600",3,1720940.15711975,1.74323319006103e-06
"1959","36047115800",4,1668175.87670898,2.39782870370437e-06
"1960","36047116000",2,1629832.62619019,1.22711986977159e-06
"1961","36047116200",1,1543810.12451172,6.47748051475101e-07
"1962","36047116400",0,1954432.43678284,0
"1963","36047116600",1,1715753.16070557,5.82834421000728e-07
"1964","36047116800",9,1549247.9927063,5.80927007320395e-06
"1965","36047117000",9,1653944.13233948,5.44153809310937e-06
"1966","36047117201",0,1390018.21682739,0
"1967","36047117202",0,1634622.19470215,0
"1968","36047117400",6,2295155.29179382,2.61420219427096e-06
"1969","36047117601",1,1639988.19013977,6.09760488528136e-07
"1970","36047117602",6,1548008.02099609,3.87594890893343e-06
"1971","36047117800",7,1528412.17245483,4.57991641662804e-06
"1972","36047118000",7,8100960.29823303,8.64095087779511e-07
"1973","36047118201",0,1360340.15350342,0
"1974","36047118202",2,1337869.81944275,1.49491375837527e-06
"1975","36047118400",5,2204317.88735962,2.26827538290728e-06
"1976","36047118800",4,1877213.45983887,2.13081787744231e-06
"1977","36047119000",6,1510606.99893188,3.97191328005396e-06
"1978","36047119200",11,2421479.27467346,4.54267774044168e-06
"1979","36047119400",4,1964535.95445251,2.03610424687531e-06
"1980","36047119600",8,3290877.16375732,2.43096281079847e-06
"1981","36047119800",100,3527651.37983704,2.83474723640689e-05
"1982","36047120000",5,1623804.08932495,3.07918919090702e-06
"1983","36047120200",17,1641233.53875732,1.0358062761057e-05
"1984","36047120801",2,2167998.51461792,9.22509857140042e-07
"1985","36047120802",1,1268359.45654297,7.884200293863e-07
"1986","36047120803",0,1665738.94308472,0
"1987","36047121000",0,1716806.09451294,0
"1988","36047121400",2,1864053.89530945,1.07293035090489e-06
"1989","36047122000",17,11487203.3209534,1.47990764375093e-06
"1990","36047123700",13,3459462.47767639,3.75780922148683e-06
"1991","36061014300",35,38312408.3352814,9.13542153072349e-07
"1992","36081032000",366,11399363.0123749,3.21070571752718e-05
"1993","36081068000",396,8269995.74369812,4.78839424194092e-05
"1994","36081048302",33,1453031.97065735,2.2711131390365e-05
"1995","36005007100",13,2841852.30789185,4.5744812156138e-06
"1996","36005007500",3,2458741.0567627,1.22013661900206e-06
"1997","36005014100",11,1907232.48805237,5.76751920330017e-06
"1998","36005018502",8,2447228.12823486,3.26900459654746e-06
"1999","36081024500",357,2774851.67854309,0.000128655525180156
"2000","36081024700",202,1050662.07945251,0.000192259722655319
"2001","36085014606",11,19044468.0330734,5.77595550629031e-07
"2002","36047070602",136,10589612.2919617,1.2842774244269e-05
"2003","36047007500",1,3052490.56785583,3.27601339879793e-07
"2004","36047007700",76,4166596.39828491,1.82403076120557e-05
"2005","36081056800",137,9137102.91610718,1.49938116334984e-05
"2006","36081058000",190,5917020.35852051,3.21107565104791e-05
"2007","36081013700",446,2153336.39682007,0.000207120448369622
"2008","36081014100",79,1841195.36001587,4.29069080422401e-05
"2009","36047105804",176,7126234.85224915,2.46974740026217e-05
"2010","36047107002",145,18284695.0166321,7.93012953555448e-06
"2011","36005037600",3,1341410.75938416,2.2364514217683e-06
"2012","36005017300",7,1774072.44673157,3.94572386989963e-06
"2013","36005034500",6,2966149.40504456,2.02282460546179e-06
"2014","36081051100",38,2951354.81974792,1.28754427443752e-05
"2015","36081060701",2,7642753.50421143,2.61685791501444e-07
"2016","36005003700",0,1787327.43899536,0
"2017","36061014700",0,703936.204223633,0
"2018","36061015102",60,2391493.14573669,2.50889282735189e-05
"2019","36061008601",731,1239411.11723328,0.00058979622647875
"2020","36061008800",17,1929071.60139465,8.81252929528878e-06
"2021","36005006000",864,3643640.02330017,0.000237125510334428
"2022","36005022000",65,2460445.01457214,2.64179852079739e-05
"2023","36061008602",163,1091249.97039795,0.000149369992597167
"2024","36047050803",13,602995.589981079,2.15590299763352e-05
"2025","36047079802",8,1145198.8311615,6.98568648719815e-06
"2026","36005006100",5,2613469.03092957,1.91316596478726e-06
"2027","36005025700",623,1670374.17816162,0.000372970324939806
"2028","36061029900",12,6678185.18516541,1.7968953641262e-06
"2029","36047152200",18,4196763.2824707,4.28901960593858e-06
"2030","36005005300",119,908149.453018188,0.000131035700791879
"2031","36005024700",257,1577339.86717224,0.000162932545704772
"2032","36081060300",5,1952653.29595947,2.56061842127645e-06
"2033","36081061301",7,7603813.65052795,9.20590682744306e-07
"2034","36081089201",78,19157615.4853973,4.07148791870547e-06
"2035","36081006201",170,4332014.27174377,3.92427146671356e-05
"2036","36081088400",320,16672358.3329926,1.9193445438775e-05
"2037","36005018301",1,719418.261138916,1.39001197775671e-06
"2038","36005019500",6,2376401.33781433,2.52482604875085e-06
"2039","36005005902",2,764814.626861572,2.61501274917692e-06
"2040","36085014604",17,12148049.5676346,1.39940159984959e-06
"2041","36085014605",2,9497666.61411285,2.10578037875971e-07
"2042","36085005901",3,10114640.6691589,2.96599760498409e-07
"2043","36047051200",1,1506254.07696533,6.63898617964051e-07
"2044","36081032900",7,4703532.31373596,1.48824320384864e-06
"2045","36005011000",400,21745534.4885559,1.83945812051899e-05
"2046","36005016600",36,3077495.72999573,1.16978228918777e-05
"2047","36047050600",13,1771606.05020142,7.33797448847162e-06
"2048","36081049900",115,4961489.25401306,2.31785244535163e-05
"2049","36081050700",365,4005915.52822876,9.11152512897312e-05
"2050","36061024000",769,23466562.026535,3.27700324883742e-05
"2051","36005001902",1315,5059222.39750671,0.000259921366700159
"2052","36047006300",201,1081284.25958252,0.000185890063800249
"2053","36047005100",300,1969090.12911987,0.000152354630985882
"2054","36047005900",627,3843225.68270874,0.000163144205353583
"2055","36081038100",46,3074817.81025696,1.49602359679827e-05
"2056","36085021300",24,8432869.65089417,2.84600628179462e-06
"2057","36085024700",15,5174183.2986145,2.89900823653012e-06
"2058","36005005100",454,5514198.92041016,8.233290212284e-05
"2059","36005006301",1178,8580996.69778442,0.000137280090121018
"2060","36061030300",10,1685314.98803711,5.93360889268956e-06
"2061","36085019800",27,61328717.7106781,4.40250522232898e-07
"2062","36085020803",10,22624136.7162094,4.42005815533962e-07
"2063","36047035400",178,4052586.57774353,4.39225656467307e-05
"2064","36047036600",150,2516458.26014709,5.9607585142792e-05
"2065","36081003900",1,1580667.33496094,6.32644186339633e-07
"2066","36081034700",362,4118366.78311157,8.7898921845542e-05
"2067","36005015700",69,3362827.67306519,2.05184465896544e-05
"2068","36005016100",56,2574103.34793091,2.1755148271344e-05
"2069","36061031703",21,2649773.64523315,7.92520524829669e-06
"2070","36085029106",5,4648799.81628418,1.07554642006429e-06
"2071","36047001300",142,3167116.39213562,4.48357377558353e-05
"2072","36085013203",22,11124380.5645752,1.97763820396953e-06
"2073","36085013204",18,11249671.207222,1.60004676300623e-06
"2074","36085013201",4,5054382.9657135,7.91392347420857e-07
"2075","36085013800",15,15149255.5935822,9.90147661536225e-07
"2076","36061011700",276,2125062.02583313,0.00012987856196423
"2077","36061012901",43,2303136.08084106,1.86701951125255e-05
"2078","36047017100",1,2247115.24938965,4.45015003245434e-07
"2079","36047050202",36,1451529.78077698,2.48014201821817e-05
"2080","36047050001",29,1513120.70471191,1.91656884409109e-05
"2081","36047150200",242,3430773.69340515,7.05380248383004e-05
"2082","36081056400",3,2025578.48887634,1.48105838232129e-06
"2083","36061023900",0,687855.069778442,0
"2084","36047054300",7,10106091.2746277,6.92651571193916e-07
"2085","36047054500",2,1801771.59446716,1.1100186095405e-06
"2086","36081030904",197,4460641.88677979,4.41640474622852e-05
"2087","36081030905",9,2079311.99041748,4.32835478344594e-06
"2088","36047069602",2,7888454.8576355,2.53535075765076e-07
"2089","36047070601",0,4536147.22306824,0
"2090","36081069000",3,3744056.08758545,8.01270047729094e-07
"2091","36081069400",3,5647106.61723328,5.31245503820469e-07
"2092","36085017016",9,7141561.51983643,1.26022858936404e-06
"2093","36085022802",63,68122216.9491425,9.24808422588969e-07
"2094","36005005600",1,1511686.12457275,6.61512984570545e-07
"2095","36005006200",183,2074909.94329834,8.81965988890571e-05
"2096","36081127700",35,11505210.2965088,3.04209997887832e-06
"2097","36061002100",15,2560061.35411072,5.85923457495045e-06
"2098","36005021601",570,1761363.11833191,0.000323612998403087
"2099","36005021602",130,1788230.55421448,7.26975611134803e-05
"2100","36061024302",341,2269603.73027039,0.00015024649257136
"2101","36061031100",1710,7752481.22737122,0.000220574542504225
"2102","36081138502",1518,26132359.1562805,5.80889000844446e-05
"2103","36081152901",324,15065142.5800629,2.15066003045188e-05
"2104","36081128300",569,21304892.728653,2.67074801665042e-05
"2105","36047010100",20,3393635.86741638,5.89338419953295e-06
"2106","36081024300",180,5934844.86657715,3.03293521644843e-05
"2107","36081048900",13,3902882.92767334,3.33087111269049e-06
"2108","36047014500",2,2317452.55354309,8.63016589894043e-07
"2109","36047011700",15,2163265.16322327,6.93396272218888e-06
"2110","36047014300",214,2335438.23286438,9.16316248439301e-05
"2111","36005021001",3,2077079.84980774,1.44433542132609e-06
"2112","36081021900",127,13806344.7013855,9.19866936157658e-06
"2113","36081053502",8,3494827.72349548,2.28909709803907e-06
"2114","36061000202",180,3315114.28494263,5.42967706475661e-05
"2115","36047002100",903,5707243.55029297,0.00015821998694162
"2116","36047038700",0,2027988.18536377,0
"2117","36047039500",3,1715478.62590027,1.74878308287031e-06
"2118","36047028900",0,1784336.19683838,0
"2119","36047039300",5,2043908.71612549,2.44629320309284e-06
"2120","36081003600",1,1937264.6065979,5.16191746132262e-07
"2121","36047032700",9,1904200.71575928,4.72639250973674e-06
"2122","36005003500",2,1525330.71443176,1.31119106242155e-06
"2123","36005007300",4,1507611.38763428,2.6532036258208e-06
"2124","36085007500",9,5158972.50016785,1.74453343174579e-06
"2125","36085007700",0,2674867.9024353,0
"2126","36081001902",99,1909109.97602844,5.18566249420328e-05
"2127","36081047500",68,3028835.98364258,2.24508690359063e-05
"2128","36085014100",4,3338893.92448425,1.19800152100306e-06
"2129","36085012500",6,4952103.85681152,1.21160625331941e-06
"2130","36085014700",16,17978160.8845215,8.89968673813314e-07
"2131","36061000800",133,2377774.57492065,5.59346547830079e-05
"2132","36047036502",30,1316867.76998901,2.2781330581316e-05
